Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
REDE3;6,47;9,74;3,13;0,728;10,25%;0,428;5,59;3,74;-0,81;7,46;5,93;19,48%;10,15%;1,40;13,81%;32,11%;11.108,70;4.365.340.000,00;4,00;7,98%
CTWR3;100,00;9,76;56,77;0,317;0,00%;1,141;3,79;-10,64;-142,17;-8,91;-8,91;-2,98%;3,25%;1,45;-21,86%;581,91%;0,00;879.000,00;5,52;4,94%
VIVA3;27,85;9,78;2,38;2,371;2,37%;1,535;3,21;9,31;5,57;9,72;8,01;25,46%;24,25%;4,13;17,99%;24,35%;70.874.800,00;2.762.510.000,00;0,17;21,98%
VIVO4;71,80;9,81;2,93;1,491;0,00%;1,282;-31,87;6,78;-5,17;7,22;7,22;22,01%;15,20%;0,89;23,92%;29,88%;0,00;9.816.290.000,00;0,35;13,06%
GMAT3;6,17;9,81;1,36;0,406;3,93%;0,680;2,05;5,89;7,87;6,35;5,46;6,89%;4,20%;2,34;14,72%;13,84%;29.753.600,00;10.217.400.000,00;0,21;24,55%
CPLE11;50,12;9,82;1,17;1,253;0,00%;0,492;20,84;7,02;-1,29;11,01;8,20;17,83%;12,69%;1,13;7,72%;11,89%;0,00;25.596.100.000,00;0,78;2,06%
CSED3;5,44;9,85;1,29;0,740;3,88%;0,426;7,29;3,89;-0,93;5,11;3,39;19,04%;7,51%;1,38;13,01%;13,05%;2.053.030,00;1.542.860.000,00;0,83;10,86%
ALUP11;31,28;9,94;1,20;2,385;2,82%;0,329;2,96;3,68;-0,81;6,91;6,50;64,89%;42,40%;2,13;10,23%;12,11%;23.276.500,00;8.570.260.000,00;1,49;-11,55%
EPAR4;3,30;9,94;1,20;16,824;0,00%;0,864;11,06;-6,84;-5,21;-6,42;-7,78;-245,94%;169,30%;3,21;-13,36%;12,07%;0,00;40.889.000,00;0,00;-73,89%
SMTO3;15,35;9,94;0,74;0,692;5,92%;0,233;1,29;4,67;-0,61;11,56;3,49;14,82%;6,96%;2,50;5,93%;7,40%;34.214.100,00;6.934.320.000,00;1,49;11,81%
TCSL4;7,82;9,95;0,83;1,105;0,00%;0,475;8,93;5,69;-2,20;5,61;2,18;19,44%;11,11%;1,34;9,67%;8,33%;0,00;22.847.800.000,00;0,14;2,29%
CSMG3;35,69;9,99;1,61;1,677;4,94%;0,818;13,88;6,20;-2,48;8,85;6,33;27,03%;16,78%;1,57;14,40%;16,13%;93.342.400,00;8.421.330.000,00;0,81;10,17%
CEAB3;16,30;10,01;1,45;0,626;2,35%;0,566;3,67;4,94;-4,06;5,20;3,87;12,68%;6,26%;1,49;15,85%;14,53%;64.762.300,00;3.455.690.000,00;0,37;12,84%
PTNT3;8,90;10,06;1,02;0,501;3,04%;0,417;1,26;10,12;7,78;13,21;6,96;4,95%;6,76%;2,48;5,94%;10,09%;14.732,40;421.011.000,00;0,87;1,16%
UNIP5;71,35;10,15;2,87;1,428;12,28%;1,071;3,97;8,89;-4,94;10,06;7,38;16,05%;14,03%;2,96;16,80%;28,31%;19.683,70;2.809.930.000,00;1,00;-2,26%
CXSE3;14,71;10,18;3,31;0,000;7,99%;3,060;69,24;-336,89;70,67;-328,47;-328,60;0,00%;0,00%;1,59;-0,98%;32,52%;63.149.400,00;13.330.700.000,00;0,00;0,00%
ENAT3;21,64;10,21;1,28;2,588;0,00%;0,452;1,30;29,02;-2,52;31,98;4,64;8,92%;25,34%;3,90;2,94%;12,53%;0,00;4.487.040.000,00;1,33;16,27%
MRSL3;3,30;10,25;0,99;0,883;0,00%;0,658;2,37;16,32;6,28;17,74;9,50;5,41%;8,69%;2,78;4,44%;9,63%;0,00;375.151.000,00;0,16;7,10%
TRFO3;4,53;10,32;2,58;0,804;0,00%;1,039;4,65;5,52;7,37;5,12;5,12;14,58%;7,80%;1,43;27,63%;25,01%;0,00;76.165.000,00;0,26;16,47%
UGPA4;27,10;10,38;1,88;0,219;0,00%;0,663;3,99;5,71;-2,92;8,53;6,85;3,83%;2,24%;1,82;13,75%;18,13%;0,00;16.073.700.000,00;1,18;7,70%
BESP3;330,00;10,38;2,47;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;23,77%;0,00;5.183.100.000,00;0,00;1,83%
UNIP6;73,01;10,39;2,94;1,461;12,01%;1,096;4,06;9,10;-5,05;10,27;7,53;16,05%;14,03%;2,96;16,80%;28,31%;14.771.500,00;2.809.930.000,00;1,00;-2,26%
VITT3;4,68;10,42;1,17;0,877;6,61%;0,772;2,14;8,64;3,18;10,46;8,11;10,15%;8,37%;2,63;9,87%;11,22%;631.832,00;601.557.000,00;0,35;4,36%
CASH3;4,50;10,43;0,96;1,293;0,00%;0,776;8,26;8,48;16,35;7,29;5,78;15,24%;12,19%;1,69;10,61%;9,22%;11.008.100,00;528.901.000,00;0,00;17,52%
TCOC4;27,20;10,43;1,26;1,558;0,00%;0,915;2,65;10,14;3,07;7,89;7,89;15,37%;14,93%;2,53;13,98%;12,06%;0,00;2.812.920.000,00;0,04;16,71%
ALUP3;10,95;10,43;1,26;2,505;2,68%;0,346;3,11;3,86;-0,85;7,10;6,67;64,89%;42,40%;2,13;10,23%;12,11%;75.635,20;8.570.260.000,00;1,49;-11,55%
